method,theoretical_order,k,h_coarse,h_fine,approximation,true_error,p_true,p_observed,estimated_error,richardson,richardson_true_error,status
forward_stable,1,38,3.637978807091713e-12,9.094947017729282e-13,1.0000000000004547,4.547473508864641e-13,1.0,1.0,4.547473508864641e-13,1.0,0.0,ok
central_naive,2,38,3.637978807091713e-12,9.094947017729282e-13,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,38,3.637978807091713e-12,9.094947017729282e-13,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,39,1.8189894035458565e-12,4.547473508864641e-13,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,39,1.8189894035458565e-12,4.547473508864641e-13,1.0000000000002274,2.2737367544323206e-13,1.0,1.0,2.2737367544323206e-13,1.0,0.0,ok
central_naive,2,39,1.8189894035458565e-12,4.547473508864641e-13,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,39,1.8189894035458565e-12,4.547473508864641e-13,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,40,9.094947017729282e-13,2.2737367544323206e-13,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,40,9.094947017729282e-13,2.2737367544323206e-13,1.0000000000001137,1.1368683772161603e-13,1.0,1.0,1.1368683772161603e-13,1.0,0.0,ok
central_naive,2,40,9.094947017729282e-13,2.2737367544323206e-13,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,40,9.094947017729282e-13,2.2737367544323206e-13,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,41,4.547473508864641e-13,1.1368683772161603e-13,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,41,4.547473508864641e-13,1.1368683772161603e-13,1.0000000000000568,5.684341886080802e-14,1.0,1.0,5.684341886080802e-14,1.0,0.0,ok
central_naive,2,41,4.547473508864641e-13,1.1368683772161603e-13,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,41,4.547473508864641e-13,1.1368683772161603e-13,1.0,0.0,,,,,,roundoff-dominated
